Type of Travel,Home and Work Filter,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent)
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),1: Morning (8am-12noon),267,0.119,0.121,0.124,0.199,0.152,0.108,0.062,0.063,0.052,0.071,0.204,0.285,0.294,0.146,0.820,0.059,0.013,0.039,0.000,0.035,0.034,0.077,0.312,0.688,0.156,0.223
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),2: Recreation Hours (8am-8pm),1346,0.130,0.127,0.126,0.194,0.147,0.104,0.061,0.061,0.050,0.071,0.204,0.280,0.290,0.155,0.798,0.075,0.013,0.042,0.000,0.038,0.034,0.079,0.308,0.692,0.153,0.220
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),3: Afternoon (12noon-4pm),399,0.119,0.121,0.126,0.191,0.152,0.110,0.062,0.063,0.056,0.066,0.202,0.280,0.291,0.161,0.812,0.066,0.011,0.044,0.000,0.034,0.033,0.073,0.319,0.681,0.155,0.231
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),4: Evening (4pm-8pm),680,0.140,0.133,0.127,0.196,0.143,0.098,0.059,0.058,0.046,0.074,0.205,0.278,0.289,0.154,0.781,0.086,0.013,0.043,0.000,0.042,0.035,0.083,0.300,0.700,0.151,0.213
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),2533,0.134,0.128,0.126,0.199,0.145,0.102,0.061,0.056,0.049,0.075,0.203,0.279,0.290,0.153,0.794,0.078,0.013,0.043,0.000,0.039,0.033,0.078,0.304,0.696,0.149,0.218
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),490,0.111,0.116,0.126,0.199,0.145,0.115,0.068,0.062,0.058,0.057,0.200,0.286,0.303,0.154,0.831,0.063,0.011,0.037,0.000,0.028,0.030,0.060,0.299,0.701,0.139,0.217
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),2: Recreation Hours (8am-8pm),2166,0.134,0.127,0.124,0.197,0.145,0.103,0.062,0.057,0.051,0.074,0.202,0.281,0.289,0.154,0.798,0.078,0.012,0.043,0.000,0.037,0.032,0.076,0.302,0.698,0.148,0.217
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),3: Afternoon (12noon-4pm),832,0.136,0.129,0.121,0.187,0.144,0.107,0.064,0.059,0.053,0.073,0.198,0.280,0.290,0.159,0.803,0.074,0.011,0.043,0.000,0.037,0.032,0.073,0.307,0.693,0.147,0.222
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),4: Evening (4pm-8pm),844,0.144,0.131,0.127,0.207,0.147,0.092,0.056,0.052,0.044,0.085,0.207,0.279,0.279,0.150,0.774,0.090,0.014,0.045,0.000,0.043,0.034,0.087,0.299,0.701,0.153,0.211
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1292,0.193,0.166,0.151,0.199,0.130,0.072,0.038,0.030,0.021,0.157,0.291,0.295,0.173,0.084,0.597,0.121,0.011,0.189,0.001,0.041,0.040,0.095,0.392,0.608,0.204,0.297
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),1: Morning (8am-12noon),170,0.179,0.162,0.148,0.199,0.137,0.077,0.044,0.030,0.024,0.155,0.282,0.294,0.182,0.087,0.651,0.101,0.009,0.166,0.001,0.037,0.035,0.089,0.392,0.608,0.204,0.297
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),2: Recreation Hours (8am-8pm),1012,0.187,0.163,0.151,0.200,0.130,0.075,0.040,0.031,0.023,0.152,0.290,0.295,0.177,0.086,0.609,0.117,0.011,0.184,0.001,0.039,0.039,0.091,0.390,0.610,0.201,0.295
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),3: Afternoon (12noon-4pm),310,0.179,0.155,0.148,0.205,0.129,0.082,0.042,0.034,0.026,0.141,0.285,0.294,0.188,0.092,0.640,0.112,0.011,0.161,0.001,0.037,0.038,0.087,0.382,0.618,0.194,0.289
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),4: Evening (4pm-8pm),532,0.195,0.168,0.153,0.196,0.129,0.071,0.037,0.030,0.021,0.158,0.294,0.295,0.170,0.083,0.578,0.126,0.011,0.202,0.001,0.041,0.041,0.094,0.394,0.606,0.205,0.299
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),1152,0.191,0.167,0.152,0.202,0.130,0.073,0.037,0.028,0.020,0.159,0.296,0.294,0.169,0.082,0.593,0.118,0.011,0.195,0.001,0.042,0.040,0.097,0.395,0.605,0.207,0.300
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),1: Morning (8am-12noon),134,0.181,0.163,0.147,0.207,0.136,0.075,0.042,0.028,0.021,0.163,0.286,0.292,0.171,0.088,0.640,0.102,0.009,0.170,0.001,0.040,0.038,0.094,0.399,0.601,0.213,0.299
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),2: Recreation Hours (8am-8pm),887,0.185,0.164,0.153,0.201,0.131,0.076,0.039,0.030,0.021,0.154,0.294,0.293,0.174,0.085,0.606,0.114,0.011,0.189,0.001,0.040,0.039,0.093,0.394,0.606,0.204,0.298
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),3: Afternoon (12noon-4pm),254,0.176,0.155,0.145,0.206,0.130,0.086,0.042,0.034,0.026,0.133,0.288,0.291,0.194,0.094,0.659,0.108,0.010,0.147,0.000,0.039,0.037,0.087,0.377,0.623,0.189,0.285
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),4: Evening (4pm-8pm),499,0.192,0.169,0.158,0.196,0.130,0.072,0.036,0.028,0.019,0.161,0.300,0.295,0.165,0.079,0.570,0.120,0.012,0.215,0.001,0.041,0.041,0.095,0.400,0.600,0.209,0.304
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1668,0.196,0.164,0.148,0.195,0.129,0.071,0.041,0.032,0.024,0.155,0.283,0.295,0.180,0.087,0.607,0.126,0.010,0.178,0.001,0.039,0.039,0.093,0.385,0.615,0.200,0.291
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),270,0.176,0.160,0.149,0.187,0.138,0.080,0.047,0.034,0.029,0.145,0.278,0.295,0.196,0.086,0.665,0.101,0.008,0.161,0.001,0.034,0.030,0.082,0.382,0.618,0.192,0.293
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),2: Recreation Hours (8am-8pm),1348,0.191,0.162,0.148,0.195,0.129,0.074,0.042,0.033,0.026,0.150,0.282,0.296,0.183,0.089,0.615,0.124,0.010,0.174,0.001,0.037,0.039,0.088,0.384,0.616,0.197,0.291
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),3: Afternoon (12noon-4pm),459,0.184,0.155,0.153,0.201,0.128,0.076,0.043,0.033,0.027,0.152,0.281,0.299,0.179,0.089,0.614,0.118,0.011,0.183,0.001,0.035,0.038,0.086,0.389,0.611,0.203,0.294
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),4: Evening (4pm-8pm),619,0.202,0.168,0.143,0.194,0.126,0.069,0.040,0.033,0.025,0.152,0.284,0.293,0.181,0.090,0.595,0.139,0.010,0.174,0.000,0.039,0.043,0.091,0.381,0.619,0.196,0.287
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),52,0.121,0.130,0.134,0.209,0.171,0.097,0.051,0.046,0.041,0.080,0.296,0.322,0.213,0.089,0.911,0.024,0.005,0.020,0.000,0.018,0.022,0.051,0.403,0.597,0.202,0.299
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),1: Morning (8am-12noon),13,0.121,0.142,0.142,0.211,0.187,0.097,0.042,0.039,0.019,0.089,0.340,0.335,0.171,0.065,0.917,0.015,0.004,0.020,0.000,0.020,0.024,0.071,0.470,0.530,0.251,0.338
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),2: Recreation Hours (8am-8pm),44,0.124,0.133,0.133,0.211,0.171,0.095,0.050,0.044,0.039,0.082,0.302,0.324,0.206,0.086,0.917,0.021,0.005,0.019,0.000,0.017,0.021,0.050,0.402,0.598,0.203,0.297
